car_id,price,Kilometers,hp,Brand,Sport,age,Users,gas,Metalilic,CC,Weight,QuartTax,Automatic,red,Owner_gender,door
3548,48750,,110,6,YES,7,1,590,NO,1800,1170,100,YES,NO,M,4
903,16610,,110,3,NO,8,1,391,YES,2200,1250,270,YES,NO,F,4
3903,27100,3040,110,2,YES,8,1,478,NO,1900,1186,120,YES,YES,M,4
5098,24240,4690,110,5,NO,8,1,,NO,1800,1170,100,YES,NO,M,4
3364,13030,5820,110,5,NO,9,1,,YES,2200,1250,80,NO,NO,F,4
2854,13940,106710,110,6,NO,9,1,357,YES,2200,1250,80,NO,NO,F,4
4187,22190,8610,110,4,NO,9,1,360,NO,1900,1186,160,YES,YES,F,4
460,51300,11040,192,3,NO,9,1,380,NO,1900,1186,160,YES,YES,F,4
3587,35050,12720,192,5,YES,10,2,617,NO,1600,1165,100,YES,NO,M,2
1880,17290,11490,110,2,NO,9,2,382,NO,1600,1165,100,YES,YES,M,2
2129,14000,12180,110,5,NO,9,1,323,NO,2200,,190,NO,NO,F,4
3885,82540,17700,192,6,NO,10,1,323,NO,1900,1186,160,YES,NO,F,4
1341,19840,15330,110,1,YES,9,1,575,NO,2200,1195,210,YES,NO,M,4
973,13230,16380,192,2,NO,11,2,379,NO,1600,1165,100,NO,NO,M,2
2828,13000,17660,90,5,NO,10,1,401,YES,2200,1250,80,NO,NO,F,4
1928,14850,17670,90,5,NO,10,1,426,NO,1800,1170,120,NO,NO,M,4
60,12690,21020,90,2,YES,10,1,587,NO,1800,1170,120,NO,YES,M,4
5105,19420,14650,70,4,NO,11,1,364,NO,2000,1195,160,YES,NO,F,4
4652,38230,105920,192,1,NO,10,1,390,YES,2200,1250,270,YES,NO,F,4
5127,18850,16200,70,2,NO,9,1,374,NO,1800,1170,100,YES,NO,M,4
2097,14690,17770,110,6,YES,12,1,543,NO,2000,1195,160,NO,NO,M,4
1320,12500,25180,192,2,YES,11,1,473,NO,1900,,120,NO,NO,M,4
557,12160,22290,192,1,YES,11,1,623,NO,1900,1186,160,NO,YES,M,4
1011,26080,18820,192,1,NO,10,1,331,NO,1800,1170,120,YES,NO,M,4
3796,21810,21800,70,5,NO,12,1,284,NO,1900,1186,120,YES,NO,F,4
1179,13540,25990,90,4,YES,13,1,647,NO,2200,1195,190,NO,NO,M,4
219,13460,21100,192,4,NO,11,1,353,NO,2000,1195,160,NO,NO,F,4
569,10890,24050,90,2,NO,11,1,332,NO,1900,1195,160,NO,NO,F,4
4882,19210,22490,192,2,YES,10,1,451,NO,1900,1195,160,YES,NO,M,4
